entity_id,entity_name,entity_type,jurisdiction,incorporation_date,parent_entity_id,ownership_pct,registered_address,board_members,board_mandate_expiry,annual_filing_due,annual_filing_status,registered_agent,status,asset_class,asset_description
FGI-089,FGI Melbourne Residential V Pty Ltd,Pty Ltd,Australia,2013-05-09,FGI-002,60.0,"3 Robinson Road, Sydney","Danny Morgan, Elizabeth Fowler, Gabrielle Davis",2027-10-24,2026-01-14,Overdue,Ramirez Governance Partners Pty Ltd,Active,Holding,Intermediate holding company
FGI-090,FGI Copenhagen Hotel II ApS,ApS,Denmark,2019-10-12,FGI-002,100.0,"Bellisvej 441, Copenhagen","Crystal Robinson, Zachary Hicks, Timothy Duncan",2027-02-05,2026-09-11,Filed,Kristensen Management ApS,Active,Real Estate,"Residential portfolio, Copenhagen"
FGI-091,FGI Amsterdam Retail IV B.V.,B.V.,Netherlands,2017-11-22,FGI-002,100.0,"Madeliefbaan 781, Amsterdam","Brent Jordan, Mark Perez, Rebecca Henderson, Angelica Tucker",2028-05-02,2026-08-10,Filed,de Groot Governance Partners B.V.,Active,Real Estate,"Logistics portfolio, Rotterdam"
FGI-092,FGI Coastal Wind Holdings Ltd,Ltd,United Kingdom,2019-07-10,FGI-002,100.0,"Studio 31, Irene Forks, Manchester","Eric Carney, Lisa Jackson",2027-11-14,2026-09-05,Filed,Griffin Trust Ltd,In liquidation,Renewable Energy,250MW battery storage site
FGI-093,FGI Esch-sur-Alzette Office II S.à r.l.,S.à r.l.,Luxembourg,2014-05-08,FGI-002,100.0,"840, rue de Hoareau, Luxembourg City","Stephanie Ross, Allison Hill, Brittany Farmer, Ethan Adams",2028-01-03,2026-01-15,Overdue,Chevalier Trust S.à r.l.,Active,Real Estate,"Hotel portfolio, Luxembourg City"
FGI-094,FGI Singapore Residential VIII Pte. Ltd.,Pte. Ltd.,Singapore,2023-12-28,FGI-079,100.0,"537 Wilkerson Row, Singapore","Brian Ramirez, John Pierce, Sherry Decker, Paula Moreno",2027-05-19,2027-01-05,Filed,Ellis Corporate Services Pte. Ltd.,Active,Real Estate,"Retail portfolio, Singapore"
FGI-095,FGI Wilmington Hotel VIII LLC,LLC,USA (Delaware),2016-11-26,FGI-002,100.0,"537 Wilkerson Row, Dover","Lisa Jackson, Lisa Hensley",2028-02-07,2027-02-21,Unknown,Ellis Corporate Services LLC,Active,Real Estate,"Office portfolio, Wilmington"
FGI-096,FGI Zug Residential V AG,AG,Switzerland,2016-01-30,FGI-002,100.0,"Zollingerstrasse 66, Zurich","Derek Zuniga, Gina Moore, Danny Morgan, Tommy Walter",2027-02-18,2026-09-26,Filed,Herzog Fiduciaire AG,Active,Holding,Intermediate holding company
FGI-097,FGI Atlas Hydro Holdings Ltda,Ltda,Brazil,2017-09-03,FGI-002,100.0,"Chácara Ravi Lucca Brito, 84, São Paulo","Elizabeth Fowler, Crystal Robinson, Jamie Arnold, Debra Davidson, Lisa Jackson",2027-01-30,2027-03-13,Unknown,Porto Management Ltda,Active,Renewable Energy,300MW hydro plant
FGI-098,FGI Valencia Residential III S.L.,S.L.,Spain,2023-10-29,FGI-002,100.0,"Pasaje Brunilda Casanovas 91 Piso 9 , Barcelona","Paula Moreno, Jessica Holmes, Daniel Wagner, Cristian Santos",2027-08-02,2026-12-17,Pending,Pardo Treuhand S.L.,Active,Real Estate,"Mixed-Use portfolio, Barcelona"
FGI-099,FGI Rio de Janeiro Office III Ltda,Ltda,Brazil,2024-03-28,FGI-057,100.0,"Esplanada Ester Fogaça, 24, São Paulo","Tommy Walter, Zachary Hicks, Joshua Blair, Cristian Santos, Sherri Baker",2027-05-07,2026-12-25,Filed,Pereira Trust Ltda,Active,Real Estate,"Mixed-Use portfolio, São Paulo"
FGI-100,FGI Seoul Office III Co. Ltd,Co. Ltd,South Korea,2016-01-20,FGI-002,100.0,"서울특별시 강동구 선릉거리 221-98 (상현이이면), Busan","Brittany Farmer, Lisa Jackson, Angelica Tucker",2027-11-28,2027-01-05,Filed,조 Fiduciaire Co. Ltd,Active,Real Estate,"Hotel portfolio, Busan"
